S.No.,Device,Contact Count,English,,,Device,Contact Count,Coil Count,English
1,X0,6,LOADER ROTATOR INVERTER FAULT,,,Y6F,,1,
2,X1,3,POWDER REM. C/V INV. FAULT,,,Y0E0,1,2,MAIN CUTTING CUTTER DOWN
3,X2,6,LOADER FWD/REV INVERTER FAULT,,,Y0E1,1,2,KEROCINE OIL
4,X3,4,BRUSH ROLR MOTOR OVERLOAD,,,Y0E2,1,2,AXIS#Z SELECTED TO CUTTING PMAC
5,X4,5,CUTTING CNV OVER LOAD,,,Y0E3,1,,SHUTTLE#4 HOME CMD TO PMAC-1
6,X5,7,LOADER ROTATOR OVER LOAD,,,Y0E4,1,2,AXIS#A SELECTED TO CUTTING PMAC
7,X6,4,POWER REM.C/V OVERLOAD,,,Y0E5,1,1,CUTTING AT LOADING
8,X7,5,LOADER FWD/REV OVERLOAD,,,Y0E6,1,2,AXIS#V SELECTED TO CUTTING PMAC
9,X8,2,MPCB SHUTTLE 3,,,Y0E7,1,1,HOME SELECTED AXIS TO PMAC
10,X9,4,TURN TABLE MOTOR OVERLOAD,,,Y0E8,1,1,JOG POSITIVE TO CUTTING PMAC
11,X0A,1,OVERLOAD FOR DRILLING WATER PUMP,,,Y0E9,1,1,JOG NEGATIVE TO CUTTING PMAC
12,X0B,3,CUTTING LUB. MOTOR OVER LOAD,,,Y0EA,1,2,FEED HOLD TO CUTTING PMAC
13,X0C,4,HUDRAULC OVER LOAD,,,Y0EB,1,2,RESET TO CUTTING PMAC
14,X0D,3,CUTTING BLOWER MOTOR OVERLOAD,,,Y0EC,2,1,CUTTING MANUAL START TO CUTT-PMA
15,X0E,2,GRINDING LUB OVER LOAD,,,Y0ED,1,2,CUTTING MANUAL STOP TO CUTT-PMAC
16,X0F,2,SPARE,,,Y0EE,1,,SHUTTLE#4 STOP CMD TO PLC
17,X10,2,GRINDING BLOWER MOTOR OVERLOAD,,,Y0EF,1,1,RESET SERVO WITH FOLLOWING ERROR
18,X11,2,U-AXIS SEL. FROM PUSH BUTTON,,,Y0F0,2,1,AUTO MODE FOR GRINDING
19,X12,2,C-AXIS SEL. FROM PUSH BUTTON,,,Y0F1,2,1,MANUAL MODE FOR GRINDING
20,X13,2,Z1-AXIS SEL. FROM PUSH BUTTON,,,Y0F2,4,2,AUTO START FOR GRINDING
21,X14,2,LEFT SIDE DOOR NEAR STAIR,,,Y0F3,1,1,WATER FLOW NG FOR GRINDING
22,X15,2,JOG+ FROM PB FOR SELECTED AXIS,,,Y0F4,2,1,WASHING M/C STOP RELAY
23,X16,2,JOG- FROM PB FOR SELECTED AXIS,,,Y0F5,1,,R0TAT0R 180 DEG MOVE
24,X17,2,UPPER CLAMP ON FROM PUSH BUTTON,,,Y0F6,1,,SPARE
25,X18,3,PANEL DOOR CLOSE FROM RELAY,,,Y0F7,3,1,GGM BLOWER RUN
26,X19,3,CONTROL ON PUSH BUTTON,,,Y0F8,1,,STEPPER MOVE#2 CMD
27,X1A,3,CONTROL OFF PUSH BUTTON,,,Y0F9,1,,STEPPER MOVE#2 CMD
28,X1B,17,PAUSE KEY SWITCH AT HMI,,,Y0FA,8,2,LOADER SUCK SOL. CMD.
29,X1C,8,VACUUM BYPASS FOR GRINDING-PMAC,,,Y0FB,6,1,LOADER RELEASE SOL. CMD.
30,X1D,2,UPPER CLAMP OFF,,,Y0FC,4,1,LOADER CUPS FRAME FWD TILT SOL.
31,X1E,258,MAIN CONTACTOR ON-C01 NO CONTACT,,,Y0FD,1,,SPARE
32,X1F,4,CONTROL VOLTAGE ON,,,Y0FE,5,1,LOADER CUPS UP AFTER SUCK SOL.Y1
33,X20,1,LOWER CLAMP ON FROM PUSH BUTTON,,,Y0FF,2,1,GLASS UNLOADING CENT.SOV
34,X21,6,TURN TABLE STOP PROXY SWITCH,,,Y100,2,1,CENTERING UP/DOWN SOL. COMMAND
35,X22,1,LOWER CLAMP OFF FROM PUSH BUTTON,,,Y101,1,1,CENTERING PUSH#1 SOL. COMMAND
36,X23,1,DRILLING COOLENTPUMP ON,,,Y102,1,1,CENTERING PUSH#2 SOL. COMMAND
37,X24,1,PANEL TEMP. HIGH,,,Y103,1,1,CUP CLEANING OUTPUT
38,X25,11,LOADER IN REV. POSITION-LIMIT SW,,,Y104,1,1,CENTERING PUSH#3 SOL. CMD
39,X26,6,LOADER IN FWD. POS.#1-PROXY S/W,,,Y105,5,1,CUTTING TABLE UP/DN SOL.
40,X27,6,LOADER IN FWD. POS.#2-PROXY S/W,,,Y106,1,1,UNLOADING PLATFM UP SOL. CMD
